Name,Latitude,Longitude,Street1,Street2,Street3,City,CountrySubdivisionCode
Target - Fairfield T-1175,40.89,-74.27,632 US Highway 46,,,Fairfield,NJ
Fair Lawn Promanade,40.94,-74.13,16-31 state route 208,,,Fair Lawn,NJ
240 Route 202 - Flemington,40.49,-74.86,240 Route 202,,,Flemington,NJ
Florham Park,40.79,-74.39,184 Columbia Turnpike,,,Florham Park,NJ
Forked River Travel Plaza-Gdn St. P,39.87,-74.21,Garden State Parkway,Mile Marker 74.5,,Lacey,NJ
Acme - Fort Lee #1065,40.86,-73.97,2160 Lemoine Ave,,,Fort Lee,NJ
Fort Lee - Linwood Plaza,40.86,-73.97,136-38 Linwood Plaza,,Linwood Plaza Shopping Center,Fort Lee,NJ
"Fort Lee, Bergen Blvd.",40.86,-73.98,1616 Bergen Blvd.,,,Fort Lee,NJ
"Fort Lee, Route 4 E",40.86,-73.97,2215 SR-4 East,,,Fort Lee,NJ
Lemoine Ave.,40.85,-73.97,1605 Lemoine Ave.,,Whitman Plaza,Fort Lee,NJ
"Franklin, NJ",41.11,-74.58,111 Rt. 23 South,,,Franklin,NJ
Franklin Lakes,40.99,-74.21,816 High Mountain Rd.,,Urban Farms Shopping Center,Franklin Lakes,NJ
Stop & Shop-Franklin #802,40.43,-74.56,3333 Rt. 27,,,Franklin,NJ
Freehold,40.21,-74.26,621 U.S Highway 9,,,Freehold,NJ
Freehold (B&N),40.26,-74.29,3981 US Highway 9,,,Freehold,NJ
Freehold Raceway Mall,40.25,-74.3,3710 Route 9,,Freehold Raceway Mall,Freehold,NJ
Route 537 Freehold,40.24,-74.31,11 Village Center Drive,,,Freehold,NJ
Galloway Township,39.48,-74.54,68 W. Jimmie Leeds Rd,B1,,Galloway,NJ
Gillette,40.67,-74.48,977 Valley Road,,Valley Mall Shopping Center,Long Hill,NJ
Glen Ridge,40.8,-74.2,710 Bloomfield Ave.,,,Glen Ridge,NJ
Glen Rock,40.96,-74.13,224 Rock Road,,,Glen Rock,NJ
"Green Brook, NJ",40.59,-74.5,287 Route 22,,,Green Brook,NJ
Hackensack,40.88,-74.06,360 Essex Street,,Sanzari Medical Arts Building,Hackensack,NJ
Target Hackensack T-1330,40.9,-74.04,630 Main St,,,Hackensack,NJ
"Hackettstown, NJ",40.82,-74.84,1885 Route 57,,,Hackettstown,NJ
Target Washington Township T-2446,40.85,-74.81,68 US Highway 46 W,,,Hackettstown,NJ
Haddonfield,39.9,-75.03,214-216 Kings Highway,,,Haddonfield,NJ
Hamilton Trenton,40.21,-74.69,1150 Whitehorse-Mercerville Road,,,Hamilton,NJ
Farley Travel Plaza,39.55,-74.74,Atlantic City Expressway Mile Marker 20,,,Hammonton,NJ
Hasbrouck Heights,40.86,-74.07,201-211 Route 17 South,,,Hasbrouck Heights,NJ
Hillsborough,40.5,-74.65,601 Route 206 & 514,Suite #21,Nelsons Corner Shopping Center,Hillsborough,NJ
Hillsdale,41,-74.04,126 Broadway,,,Hillsdale,NJ
Hoboken - 12th & Hudson,40.75,-74.03,1205 N. Hudson Street,,The Shipyards at 12th & Hudson,Hoboken,NJ
"Hoboken, Washington St.",40.74,-74.03,314  Washington Ave.,,,Hoboken,NJ
Newark St. Hoboken,40.74,-74.03,51 Newark Street,,,Hoboken,NJ
Howell - Route 9,40.14,-74.22,4701 Rte. 9 No.,Space T1B10,,Howell,NJ
Rt. 1 North Woodbridge,40.56,-74.3,774 Route 1 N,,,Woodbridge,NJ
Grove Point,40.72,-74.04,98 Christopher Columbus Drive,,,Jersey City,NJ
Jersey City,40.73,-74.03,111 Town Square Place,,,Jersey City,NJ
"Jersey City, Exchange Place",40.72,-74.03,15 Exchange Place,Suite 110,,Jersey City,NJ
Newport Mall,40.73,-74.04,30 Mall Drive West,A-36,Newport Centre,Jersey City,NJ
Target Jersey City T-1886,40.73,-74.04,100 14th St,,,Jersey City,NJ
Acme - Kenilworth #1096,40.68,-74.28,801 Kenilworth Blvd,,,Kenilworth,NJ
"Lakewood, NJ",40.06,-74.16,1865 Route 70,,Lakewood Hilton Gardens Project,Lakewood,NJ
Lawrenceville,40.3,-74.73,2673 Main St,,,Lawrence,NJ
Mercer Mall,40.3,-74.68,301 Mercer Mall,,,Lawrence,NJ
Quaker Bridge,40.29,-74.68,150 Quaker Bridge Mall RD,2026,Quaker Bridge Mall,Lawrence,NJ
Rider University/Student Rec Center,40.28,-74.73,2083 Lawrenceville Rd,,,Lawrence,NJ
Acme - Lincroft #7932,40.33,-74.12,619 Newman Springs Road,,,Middletown,NJ
