,index,Name,Street1,Street2,Street3,City,CountrySubdivisionCode,Income,Population,Male Pop (%),White (%),Black (%),Asian (%),Hispanic (%),Employed (%),Travel Time to Work (mins),Median Age,Age <18 (%),Latitude,Longitude,target search add,Cafe within 1 mile,Is Dunkin within 1 mile radius
66,71,Englewood,17 E. Palisades Avenue,,,Englewood,NJ,80670.0,28509.0,47.08,45.79,30.77,12.33,24.52,51.55,33.0,42.5,21.7,40.8937794,-73.9741185,"17 E. Palisades Avenue,Englewood,NJ",Starbucks,Dunkin' Donuts
67,72,Marlton,300 State Route 73,Space A,,Evesham,NJ,94395.0,45489.0,48.46,85.71,4.97,6.08,4.7,55.11,27.0,43.9,21.03,39.8903095,-74.9239923,"300 State Route 73,Evesham,NJ",Turning Point of Marlton,Dunkin' Donuts
68,73,Target - Fairfield T-1175,632 US Highway 46,,,Fairfield,NJ,52602.0,6300.0,56.52,36.32,46.22,0.29,15.73,34.84,,43.5,19.05,40.8897001,-74.2720345,"632 US Highway 46,Fairfield,NJ",McDonald's,Dunkin' Donuts
69,75,Fair Lawn Promanade,16-31 state route 208,,,Fair Lawn,NJ,109747.0,33447.0,47.55,81.94,1.64,13.25,13.68,52.96,29.0,45.4,21.77,40.9431067,-74.1287913,"16-31 state route 208,Fair Lawn,NJ",Panera Bread,Dunkin' Donuts
70,76,240 Route 202 - Flemington,240 Route 202,,,Flemington,NJ,60869.0,4650.0,48.92,72.86,1.89,13.96,33.27,48.8,,37.2,23.76,40.4904566,-74.862088,"240 Route 202,Flemington,NJ",McDonald's,Dunkin' Donuts
71,77,Florham Park,184 Columbia Turnpike,,,Florham Park,NJ,123266.0,11792.0,47.18,83.75,4.27,10.85,6.65,53.12,,44.6,15.25,40.7899517,-74.3930374,"184 Columbia Turnpike,Florham Park,NJ",Panera Bread,Dunkin' Donuts
72,78,Forked River Travel Plaza-Gdn St. P,Garden State Parkway,Mile Marker 74.5,,Lacey,NJ,78649.0,28444.0,48.65,96.92,0.82,1.18,4.74,49.1,,44.3,20.52,39.8680325,-74.21781349999999,"Garden State Parkway,Lacey,NJ",Starbucks,
73,79,Acme - Fort Lee #1065,2160 Lemoine Ave,,,Fort Lee,NJ,76578.0,37058.0,45.83,50.46,2.59,41.42,13.1,48.41,34.0,54.4,16.98,40.8560522,-73.96639019999999,"2160 Lemoine Ave,Fort Lee,NJ",Starbucks,Dunkin' Donuts
74,80,Fort Lee - Linwood Plaza,136-38 Linwood Plaza,,Linwood Plaza Shopping Center,Fort Lee,NJ,76578.0,37058.0,45.83,50.46,2.59,41.42,13.1,48.41,34.0,54.4,16.98,40.8612935,-73.97044530000001,"136-38 Linwood Plaza,Fort Lee,NJ",Starbucks,Dunkin' Donuts
75,81,"Fort Lee, Bergen Blvd.",1616 Bergen Blvd.,,,Fort Lee,NJ,76578.0,37058.0,45.83,50.46,2.59,41.42,13.1,48.41,34.0,54.4,16.98,40.85553580000001,-73.9830537,"1616 Bergen Blvd.,Fort Lee,NJ",Starbucks,Dunkin' Donuts
76,82,"Fort Lee, Route 4 E",2215 SR-4 East,,,Fort Lee,NJ,76578.0,37058.0,45.83,50.46,2.59,41.42,13.1,48.41,34.0,54.4,16.98,40.86381739999999,-73.9752079,"2215 SR-4 East,Fort Lee,NJ",Starbucks,Dunkin' Donuts
77,83,Lemoine Ave.,1605 Lemoine Ave.,,Whitman Plaza,Fort Lee,NJ,76578.0,37058.0,45.83,50.46,2.59,41.42,13.1,48.41,34.0,54.4,16.98,40.84928439999999,-73.9709274,"1605 Lemoine Ave.,Fort Lee,NJ",Starbucks,Dunkin' Donuts
78,84,"Franklin, NJ",111 Rt. 23 South,,,Franklin,NJ,57232.0,4849.0,47.64,94.04,4.62,0.72,7.34,51.8,,43.1,20.97,41.1088992,-74.5808595,"111 Rt. 23 South,Franklin,NJ",QuickChek,Dunkin' Donuts
79,89,Franklin Lakes,816 High Mountain Rd.,,Urban Farms Shopping Center,Franklin Lakes,NJ,155458.0,10953.0,49.69,85.34,1.78,8.49,7.62,46.32,,48.9,23.14,40.9952229,-74.2132768,"816 High Mountain Rd.,Franklin Lakes,NJ",Starbucks,
80,90,Stop & Shop-Franklin #802,3333 Rt. 27,,,Franklin,NJ,57232.0,4849.0,47.64,94.04,4.62,0.72,7.34,51.8,,43.1,20.97,40.4294488,-74.5589589,"3333 Rt. 27,Franklin,NJ",Starbucks,Dunkin' Donuts
81,95,Freehold,621 U.S Highway 9,,,Freehold,NJ,99827.0,35429.0,49.93,83.24,5.57,7.33,8.9,49.59,,42.6,22.14,40.2102494,-74.2576694,"621 U.S Highway 9,Freehold,NJ",Dunkin' Donuts,Dunkin' Donuts
82,97,Freehold (B&N),3981 US Highway 9,,,Freehold,NJ,99827.0,35429.0,49.93,83.24,5.57,7.33,8.9,49.59,,42.6,22.14,40.2579141,-74.2902788,"3981 US Highway 9,Freehold,NJ",Auntie Anne's,Dunkin' Donuts
83,99,Freehold Raceway Mall,3710 Route 9,,Freehold Raceway Mall,Freehold,NJ,99827.0,35429.0,49.93,83.24,5.57,7.33,8.9,49.59,,42.6,22.14,40.2546296,-74.298621,"3710 Route 9,Freehold,NJ",Auntie Anne's,Dunkin' Donuts
84,101,Route 537 Freehold,11 Village Center Drive,,,Freehold,NJ,99827.0,35429.0,49.93,83.24,5.57,7.33,8.9,49.59,,42.6,22.14,40.240545,-74.3053817,"11 Village Center Drive,Freehold,NJ",Panera Bread,Dunkin' Donuts
85,103,Galloway Township,68 W. Jimmie Leeds Rd,B1,,Galloway,NJ,65000.0,37029.0,47.4,69.51,11.6,11.46,11.48,49.32,,40.6,19.28,39.4756408,-74.541319,"68 W. Jimmie Leeds Rd,Galloway,NJ",Starbucks,Dunkin' Donuts
86,104,Gillette,977 Valley Road,,Valley Mall Shopping Center,Long Hill,NJ,133269.0,8763.0,49.18,92.72,0.78,4.84,4.28,53.41,,46.1,21.1,40.6683478,-74.4795832,"977 Valley Road,Long Hill,NJ",Starbucks,Dunkin' Donuts
87,105,Glen Ridge,710 Bloomfield Ave.,,,Glen Ridge,NJ,196821.0,7668.0,47.95,82.26,7.37,5.75,11.2,48.54,,43.1,32.42,40.7973732,-74.201332,"710 Bloomfield Ave.,Glen Ridge,NJ",Starbucks,Dunkin' Donuts
88,106,Glen Rock,224 Rock Road,,,Glen Rock,NJ,162443.0,11962.0,49.82,84.66,0.85,11.03,7.05,47.91,,42.3,28.52,40.962215,-74.1309007,"224 Rock Road,Glen Rock,NJ",Starbucks,Dunkin' Donuts
89,107,"Green Brook, NJ",287 Route 22,,,Green Brook,NJ,136094.0,7210.0,48.02,69.02,5.85,24.62,11.79,56.52,,48.0,21.83,40.5909504,-74.4986505,"287 Route 22,Green Brook,NJ",Dunkin' Donuts,Dunkin' Donuts
90,108,Hackensack,360 Essex Street,,Sanzari Medical Arts Building,Hackensack,NJ,59277.0,44673.0,48.87,45.83,25.25,10.46,38.15,53.29,30.0,43.4,18.41,40.8841329,-74.058607,"360 Essex Street,Hackensack,NJ",Starbucks,Dunkin' Donuts
91,109,Target Hackensack T-1330,630 Main St,,,Hackensack,NJ,59277.0,44673.0,48.87,45.83,25.25,10.46,38.15,53.29,30.0,43.4,18.41,40.8991912,-74.03900879999999,"630 Main St,Hackensack,NJ",Barnes & Noble,Dunkin' Donuts
92,110,"Hackettstown, NJ",1885 Route 57,,,Hackettstown,NJ,63940.0,9569.0,49.49,84.66,3.23,3.62,20.82,51.49,,38.5,21.47,40.8186943,-74.8399263,"1885 Route 57,Hackettstown,NJ",Dunkin' Donuts,Dunkin' Donuts
93,111,Target Washington Township T-2446,68 US Highway 46 W,,,Hackettstown,NJ,63940.0,9569.0,49.49,84.66,3.23,3.62,20.82,51.49,,38.5,21.47,40.8463517,-74.80903909999999,"68 US Highway 46 W,Hackettstown,NJ",Starbucks,Dunkin' Donuts
94,112,Haddonfield,214-216 Kings Highway,,,Haddonfield,NJ,138920.0,11428.0,49.74,94.25,1.1,2.07,3.81,47.79,26.0,43.6,28.08,39.89784,-75.0316107,"214-216 Kings Highway,Haddonfield,NJ",Starbucks,Dunkin' Donuts
95,113,Hamilton Trenton,1150 Whitehorse-Mercerville Road,,,Hamilton,NJ,73415.0,89206.0,47.35,76.41,13.88,4.79,14.89,52.41,24.0,45.4,19.43,40.2079061,-74.69481619999999,"1150 Whitehorse-Mercerville Road,Hamilton,NJ",Starbucks,Dunkin' Donuts
96,115,Farley Travel Plaza,Atlantic City Expressway Mile Marker 20,,,Hammonton,NJ,68655.0,14557.0,48.67,82.83,2.89,1.39,20.64,48.28,,44.6,22.52,39.5507024,-74.73589450000001,"Atlantic City Expressway Mile Marker 20,Hammonton,NJ",Starbucks,
97,116,Hasbrouck Heights,201-211 Route 17 South,,,Hasbrouck Heights,NJ,87800.0,12205.0,47.67,79.69,2.94,12.89,14.6,52.08,27.0,43.6,20.14,40.8567122,-74.07033969999999,"201-211 Route 17 South,Hasbrouck Heights,NJ",McDonald's,Dunkin' Donuts
