Name,Latitude,Longitude,Street1,Street2,Street3,City,CountrySubdivisionCode,Income,Population
Newark St. Hoboken,40.74,-74.03,51 Newark Street,,,Hoboken,NJ,127523,54117
Howell - Route 9,40.14,-74.22,4701 Rte. 9 No.,Space T1B10,,Howell,NJ,100305,52076
Rt. 1 North Woodbridge,40.56,-74.3,774 Route 1 N,,,Iselin,NJ,,
Grove Point,40.72,-74.04,98 Christopher Columbus Drive,,,Jersey City,NJ,62739,265932
Jersey City,40.73,-74.03,111 Town Square Place,,,Jersey City,NJ,62739,265932
"Jersey City, Exchange Place",40.72,-74.03,15 Exchange Place,Suite 110,,Jersey City,NJ,62739,265932
Newport Mall,40.73,-74.04,30 Mall Drive West,A-36,Newport Centre,Jersey City,NJ,62739,265932
Target Jersey City T-1886,40.73,-74.04,100 14th St,,,Jersey City,NJ,62739,265932
Acme - Kenilworth #1096,40.68,-74.28,801 Kenilworth Blvd,,,Kenilworth,NJ,108281,8235
"Lakewood, NJ",40.06,-74.16,1865 Route 70,,Lakewood Hilton Gardens Project,Lakewood,NJ,45321,99467
Lawrenceville,40.3,-74.73,2673 Main St,,,Lawrenceville,NJ,,
Mercer Mall,40.3,-74.68,301 Mercer Mall,,,Lawrenceville,NJ,,
Quaker Bridge,40.29,-74.68,150 Quaker Bridge Mall RD,2026,Quaker Bridge Mall,Lawrenceville,NJ,,
Rider University/Student Rec Center,40.28,-74.73,2083 Lawrenceville Rd,,,Lawrenceville,NJ,,
Acme - Lincroft #7932,40.33,-74.12,619 Newman Springs Road,,,Lincroft,NJ,,
Linden,40.62,-74.25,693 West Edgar Road,,Aviation Plaza at Linden,Linden,NJ,66538,42230
"Rte 46 W, Little Ferry",40.86,-74.04,300 Route 46 West,,,Little Ferry,NJ,61341,10942
Livingston,40.8,-74.32,1 West Mt. Pleasant Avenue,,,Livingston,NJ,153381,29955
Madison,40.75,-74.4,309 Main Street,,,Madison,NJ,127948,16080
Acme - Mahwah #1058,41.1,-74.15,125 Franklin Tpke,,,Mahwah,NJ,107215,26581
Target Stafford Township T-2392,39.71,-74.29,209 Stafford Park Blvd,,,Manahawkin,NJ,,
Route 9 Manalapan,40.31,-74.3,310 Route 9 North,,,Manalapan,NJ,109326,40096
Margate NJ,39.33,-74.5,8005 Ventnor Ave,,,Margate City,NJ,69896,6200
Matawan,40.41,-74.23,265 Main Street,,Main Street Village,Matawan,NJ,86149,8898
Mays Landing Wrangleboro,39.45,-74.64,760 Consumer Square,,Wrangleboro Consumer Center,Mays Landing,NJ,,
Medford,39.87,-74.81,560 Stokes Road,,Ironstone Village Shoppes,Medford,NJ,113469,23353
Rte 35-Middletown,40.41,-74.13,2011 Route 35,,,Middletown,NJ,105035,65952
Midland Park Shopping Center,40.98,-74.14,85 Godwin Ave,,Midland Park Shopping Center,Midland Park,NJ,105313,7336
Millburn,40.72,-74.31,343 Millburn Avenue,,,Millburn,NJ,202862,20387
Joyce Kilmer Travel Plaza,40.42,-74.44,"Milepost 78.7 NB, NJ Turnpike",,,Milltown,NJ,99704,7069
Target Millville T-2170,39.42,-75.04,2116 N 2nd St,,,Millville,NJ,49950,28235
Montclair - Church & South Park,40.81,-74.22,40 South Park St,,The Siena,Montclair,NJ,113293,38572
Upper Montclair,40.84,-74.21,572 Valley Road,,,Montclair,NJ,113293,38572
NJ Montvale Travel Plaza.,41.05,-74.05,Montvale Service Area mile 173 Garden St,,,Montvale,NJ,120060,8440
Moorestown Mall Kiosk,39.94,-74.96,400 New Jersey 38,,,Moorestown,NJ,133902,20568
Moorestown-Wright's Hardware,39.96,-74.95,41 East Main Street,,,Moorestown,NJ,133902,20568
"Rte 9, Marlboro",40.35,-74.31,67 Route 9 South,,,Morganville,NJ,,
Stop & Shop-Morris Plains # 893,40.84,-74.46,245 Littleton Road,,,Morris Plains,NJ,125229,5605
Morristown Medical Ctr - Main Locat,40.79,-74.46,100 Madison Ave,,,Morristown,NJ,92296,18833
"Morristown, Park Place",40.8,-74.48,40 Park Place,,,Morristown,NJ,92296,18833
Mount Laurel Centerton Square,39.97,-74.91,10 Centerton Road,Suite D,Centerton Square Shopping Center,Mount Laurel,NJ,92826,41795
NJ James Cooper Travel Plaza,39.98,-74.89,5 Hartford Rd,,,Mount Laurel,NJ,92826,41795
Route 73 & Fellowship Road,39.93,-74.96,550 Fellowship Road,,,Mount Laurel,NJ,92826,41795
Target Mount Laurel T-1917,39.97,-74.91,4 Centerton Rd,,,Mount Laurel,NJ,92826,41795
Rt. 66 & S. Seaview Square Drive,40.23,-74.05,2301 Rt 66,,,Neptune,NJ,67836,27728
