,Name,Latitude,Longitude,Street1,Street2,Street3,City,CountrySubdivisionCode,Income,Population,Male Pop (%),White (%),Black (%),Asian (%),Hispanic (%),Employed (%),Travel Time to Work (mins),Median Age,Age <18 (%)
54,Route 10 Denville,40.87,-74.51,3056 Route 10 West,,,Denville,NJ,116078.0,16822.0,47.63,87.21,2.16,8.27,6.6,53.18,29.0,45.8,22.67
55,Deptford Mall,39.83,-75.1,1750 Deptford Center Road,KI08,,Deptford,NJ,67983.0,30556.0,47.29,74.04,13.75,5.92,7.43,51.52,26.0,44.9,20.13
56,"Route 18 & Tices, East Brunswick",40.46,-74.4,300 Route 18 North,,,East Brunswick,NJ,105959.0,48673.0,46.91,66.3,4.56,25.57,7.52,51.67,35.0,46.1,21.07
57,East Hanover - Rt 10,40.8,-74.36,405 Route 10 East,,,East Hanover,NJ,121769.0,11241.0,46.16,84.18,0.82,13.04,14.45,50.14,,47.3,19.63
58,Target East Hanover T-1491,40.81,-74.38,130 State Rte 10,,,East Hanover,NJ,121769.0,11241.0,46.16,84.18,0.82,13.04,14.45,50.14,,47.3,19.63
59,NJ TP Vince Lombardi Travel Plaza,40.83,-74.0,NJTP MM 116,,,Ridgefield Park,NJ,72191.0,13070.0,47.9,69.69,5.87,13.72,42.66,54.58,28.0,39.3,22.81
60,"East Rutherford, Rt. 17",40.83,-74.09,10 State Route 17,,,East Rutherford,NJ,77400.0,9433.0,48.49,68.72,4.7,19.43,20.65,53.04,27.0,39.0,18.46
61,Hilton Meadowlands,40.81,-74.08,2 Meadowlands Plaza,,,East Rutherford,NJ,77400.0,9433.0,48.49,68.72,4.7,19.43,20.65,53.04,27.0,39.0,18.46
62,Eatontown,40.29,-74.05,178 Route 35,,,Eatontown,NJ,66470.0,12258.0,47.75,73.87,10.72,8.34,13.57,52.91,22.0,46.2,19.0
63,Edgewater,40.81,-73.98,457 River Road,,Edgewater Commons,Edgewater,NJ,103505.0,12165.0,45.45,55.36,5.18,35.66,13.54,52.58,37.0,42.2,20.48
64,Target Edgewater T-1263,40.81,-73.98,543 River Rd,,,Edgewater,NJ,103505.0,12165.0,45.45,55.36,5.18,35.66,13.54,52.58,37.0,42.2,20.48
65,Edison,40.56,-74.35,1-11 Lincoln Highway,,Colonial Village,Edison,NJ,95622.0,102304.0,48.83,36.35,7.13,49.02,9.58,50.14,34.0,50.2,22.24
66,Macy's-Menlo Park #8,40.54,-74.33,275 Menlo Park Mall,,,Edison,NJ,95622.0,102304.0,48.83,36.35,7.13,49.02,9.58,50.14,34.0,50.2,22.24
67,Menlo Park Mall,40.55,-74.34,100 Menol Park Dr.,,Menlo Park Mall,Edison,NJ,95622.0,102304.0,48.83,36.35,7.13,49.02,9.58,50.14,34.0,50.2,22.24
68,Sheraton Edison,40.52,-74.34,125 Raritan Center Pkwy,,,Edison,NJ,95622.0,102304.0,48.83,36.35,7.13,49.02,9.58,50.14,34.0,50.2,22.24
69,Target Edison T-1055,40.55,-74.34,100 Parsonage Rd,,,Edison,NJ,95622.0,102304.0,48.83,36.35,7.13,49.02,9.58,50.14,34.0,50.2,22.24
70,Jersey Gardens Mall,40.66,-74.17,651 Kapkowski Road,1456,Jersey Gardens,Elizabeth,NJ,45186.0,129363.0,49.8,46.63,19.16,1.79,64.11,48.2,25.0,37.3,26.2
71,Englewood,40.89,-73.97,17 E. Palisades Avenue,,,Englewood,NJ,80670.0,28509.0,47.08,45.79,30.77,12.33,24.52,51.55,33.0,42.5,21.7
72,Marlton,39.89,-74.93,300 State Route 73,Space A,,Evesham,NJ,94395.0,45489.0,48.46,85.71,4.97,6.08,4.7,55.11,27.0,43.9,21.03
73,Target - Fairfield T-1175,40.89,-74.27,632 US Highway 46,,,Fairfield,NJ,52602.0,6300.0,56.52,36.32,46.22,0.29,15.73,34.84,,43.5,19.05
74,Target - Fairfield T-1175,40.89,-74.27,632 US Highway 46,,,Fairfield,NJ,110303.0,7671.0,48.25,95.62,0.0,3.38,6.11,47.43,,46.4,21.08
75,Fair Lawn Promanade,40.94,-74.13,16-31 state route 208,,,Fair Lawn,NJ,109747.0,33447.0,47.55,81.94,1.64,13.25,13.68,52.96,29.0,45.4,21.77
76,240 Route 202 - Flemington,40.49,-74.86,240 Route 202,,,Flemington,NJ,60869.0,4650.0,48.92,72.86,1.89,13.96,33.27,48.8,,37.2,23.76
77,Florham Park,40.79,-74.39,184 Columbia Turnpike,,,Florham Park,NJ,123266.0,11792.0,47.18,83.75,4.27,10.85,6.65,53.12,,44.6,15.25
78,Forked River Travel Plaza-Gdn St. P,39.87,-74.21,Garden State Parkway,Mile Marker 74.5,,Lacey,NJ,78649.0,28444.0,48.65,96.92,0.82,1.18,4.74,49.1,,44.3,20.52
79,Acme - Fort Lee #1065,40.86,-73.97,2160 Lemoine Ave,,,Fort Lee,NJ,76578.0,37058.0,45.83,50.46,2.59,41.42,13.1,48.41,34.0,54.4,16.98
80,Fort Lee - Linwood Plaza,40.86,-73.97,136-38 Linwood Plaza,,Linwood Plaza Shopping Center,Fort Lee,NJ,76578.0,37058.0,45.83,50.46,2.59,41.42,13.1,48.41,34.0,54.4,16.98
81,"Fort Lee, Bergen Blvd.",40.86,-73.98,1616 Bergen Blvd.,,,Fort Lee,NJ,76578.0,37058.0,45.83,50.46,2.59,41.42,13.1,48.41,34.0,54.4,16.98
82,"Fort Lee, Route 4 E",40.86,-73.97,2215 SR-4 East,,,Fort Lee,NJ,76578.0,37058.0,45.83,50.46,2.59,41.42,13.1,48.41,34.0,54.4,16.98
83,Lemoine Ave.,40.85,-73.97,1605 Lemoine Ave.,,Whitman Plaza,Fort Lee,NJ,76578.0,37058.0,45.83,50.46,2.59,41.42,13.1,48.41,34.0,54.4,16.98
84,"Franklin, NJ",41.11,-74.58,111 Rt. 23 South,,,Franklin,NJ,57232.0,4849.0,47.64,94.04,4.62,0.72,7.34,51.8,,43.1,20.97
85,"Franklin, NJ",41.11,-74.58,111 Rt. 23 South,,,Franklin,NJ,81057.0,16579.0,51.26,83.85,6.76,2.45,6.88,50.07,,44.1,21.83
86,"Franklin, NJ",41.11,-74.58,111 Rt. 23 South,,,Franklin,NJ,90648.0,3105.0,50.82,95.85,0.48,1.67,2.51,52.62,,46.0,22.0
87,"Franklin, NJ",41.11,-74.58,111 Rt. 23 South,,,Franklin,NJ,108309.0,3234.0,46.94,98.89,0.0,0.34,4.08,53.4,,49.1,20.66
88,"Franklin, NJ",41.11,-74.58,111 Rt. 23 South,,,Franklin,NJ,93264.0,65999.0,48.86,45.03,27.05,22.49,13.6,51.86,31.0,48.3,19.48
89,Franklin Lakes,40.99,-74.21,816 High Mountain Rd.,,Urban Farms Shopping Center,Franklin Lakes,NJ,155458.0,10953.0,49.69,85.34,1.78,8.49,7.62,46.32,,48.9,23.14
90,Stop & Shop-Franklin #802,40.43,-74.56,3333 Rt. 27,,,Franklin,NJ,57232.0,4849.0,47.64,94.04,4.62,0.72,7.34,51.8,,43.1,20.97
91,Stop & Shop-Franklin #802,40.43,-74.56,3333 Rt. 27,,,Franklin,NJ,81057.0,16579.0,51.26,83.85,6.76,2.45,6.88,50.07,,44.1,21.83
92,Stop & Shop-Franklin #802,40.43,-74.56,3333 Rt. 27,,,Franklin,NJ,90648.0,3105.0,50.82,95.85,0.48,1.67,2.51,52.62,,46.0,22.0
93,Stop & Shop-Franklin #802,40.43,-74.56,3333 Rt. 27,,,Franklin,NJ,108309.0,3234.0,46.94,98.89,0.0,0.34,4.08,53.4,,49.1,20.66
94,Stop & Shop-Franklin #802,40.43,-74.56,3333 Rt. 27,,,Franklin,NJ,93264.0,65999.0,48.86,45.03,27.05,22.49,13.6,51.86,31.0,48.3,19.48
95,Freehold,40.21,-74.26,621 U.S Highway 9,,,Freehold,NJ,99827.0,35429.0,49.93,83.24,5.57,7.33,8.9,49.59,,42.6,22.14
