,Name,Latitude,Longitude,Street1,Street2,Street3,City,CountrySubdivisionCode,Income,Population,Male Pop (%),White (%),Black (%),Asian (%),Hispanic (%),Employed (%),Travel Time to Work (mins),Median Age,Age <18 (%)
151,Medford,39.87,-74.81,560 Stokes Road,,Ironstone Village Shoppes,Medford,NJ,113469,23353,49.07,91.84,2.15,2.45,3.41,49.96,,46.5,23.21
214,Rio Grande,39.02,-74.87,3301 Route 9 South,Unit T-1A,Rio Grande Shopping Center,Middle,NJ,62249,18623,48.91,83.17,11.83,1.34,5.99,45.51,21,46.1,19.26
139,Acme - Lincroft #7932,40.33,-74.12,619 Newman Springs Road,,,Middletown,NJ,105035,65952,49.16,93.17,1.08,3.34,5.77,50.21,33,44,22.73
152,Rte 35-Middletown,40.41,-74.13,2011 Route 35,,,Middletown,NJ,105035,65952,49.16,93.17,1.08,3.34,5.77,50.21,33,44,22.73
153,Midland Park Shopping Center,40.98,-74.14,85 Godwin Ave,,Midland Park Shopping Center,Midland Park,NJ,105313,7336,49.1,95.24,0.82,0.89,13.3,53.49,,43.2,23.81
154,Millburn,40.72,-74.31,343 Millburn Avenue,,,Millburn,NJ,202862,20387,49.7,71.59,3.1,20.93,4.43,44.87,37,44.1,32.55
230,The Mall at Short Hills,40.74,-74.36,1200 Morris Turnpike,,The Mall at Short Hills,Millburn,NJ,202862,20387,49.7,71.59,3.1,20.93,4.43,44.87,37,44.1,32.55
155,Joyce Kilmer Travel Plaza,40.42,-74.44,"Milepost 78.7 NB, NJ Turnpike",,,Milltown,NJ,99704,7069,48.18,88.6,5.26,3.92,12.93,49.44,,43.5,23.03
156,Target Millville T-2170,39.42,-75.04,2116 N 2nd St,,,Millville,NJ,49950,28235,48.87,74.18,19.02,1.61,17.22,42.67,,43.2,24.97
157,Montclair - Church & South Park,40.81,-74.22,40 South Park St,,The Siena,Montclair,NJ,113293,38572,46.78,65.08,24.7,3.3,9.85,51.48,35,40.4,25.59
158,Upper Montclair,40.84,-74.21,572 Valley Road,,,Montclair,NJ,113293,38572,46.78,65.08,24.7,3.3,9.85,51.48,35,40.4,25.59
159,NJ Montvale Travel Plaza.,41.05,-74.05,Montvale Service Area mile 173 Garden St,,,Montvale,NJ,120060,8440,47.82,76.62,3.08,15.34,11.81,46.45,,46.3,23.85
160,Moorestown Mall Kiosk,39.94,-74.96,400 New Jersey 38,,,Moorestown,NJ,133902,20568,47.36,83.52,6.31,7.22,2.12,49.16,26,45.3,24.57
161,Moorestown-Wright's Hardware,39.96,-74.95,41 East Main Street,,,Moorestown,NJ,133902,20568,47.36,83.52,6.31,7.22,2.12,49.16,26,45.3,24.57
163,Stop & Shop-Morris Plains # 893,40.84,-74.46,245 Littleton Road,,,Morris Plains,NJ,125229,5605,51.19,91.88,2.16,4.71,9.1,54.75,,43.6,21.12
164,Morristown Medical Ctr - Main Locat,40.79,-74.46,100 Madison Ave,,,Morristown,NJ,92296,18833,50.8,73.14,9.09,6.09,32.7,64.46,,36,16.78
165,"Morristown, Park Place",40.8,-74.48,40 Park Place,,,Morristown,NJ,92296,18833,50.8,73.14,9.09,6.09,32.7,64.46,,36,16.78
166,Mount Laurel Centerton Square,39.97,-74.91,10 Centerton Road,Suite D,Centerton Square Shopping Center,Mount Laurel,NJ,92826,41795,47.3,77.84,8.81,8.97,4.44,52.55,28,46,21
167,NJ James Cooper Travel Plaza,39.98,-74.89,5 Hartford Rd,,,Mount Laurel,NJ,92826,41795,47.3,77.84,8.81,8.97,4.44,52.55,28,46,21
168,Route 73 & Fellowship Road,39.93,-74.96,550 Fellowship Road,,,Mount Laurel,NJ,92826,41795,47.3,77.84,8.81,8.97,4.44,52.55,28,46,21
169,Target Mount Laurel T-1917,39.97,-74.91,4 Centerton Rd,,,Mount Laurel,NJ,92826,41795,47.3,77.84,8.81,8.97,4.44,52.55,28,46,21
170,Rt. 66 & S. Seaview Square Drive,40.23,-74.05,2301 Rt 66,,,Neptune,NJ,67836,27728,48.92,54.36,35.22,2.92,8.59,50.83,,51,17.87
171,New Brunswick,40.5,-74.44,391 George Street,,Kilmer Square,New Brunswick,NJ,38413,56792,48.89,66.19,13.96,9.74,52.99,38.66,25,23.4,23.59
172,Rutgers University-The Yard,40.5,-74.45,38 Colllege Ave.,,,New Brunswick,NJ,38413,56792,48.89,66.19,13.96,9.74,52.99,38.66,25,23.4,23.59
173,New Providence Village Center,40.71,-74.4,1260 Springfield Avenue,,,New Providence,NJ,129638,12716,48.76,82.42,0.94,12.86,7.77,47.42,,41.8,27.37
174,"EWR - Newark Concourse C, Space 86",40.69,-74.17,"Terminal C, Space 86",,,Newark,NJ,34826,282803,49.41,25.29,50.12,1.75,36.38,41.06,34,36,24.79
175,"EWR - Newark Term C, Space B-50",40.69,-74.17,"Terminal C, Space B-50",,,Newark,NJ,34826,282803,49.41,25.29,50.12,1.75,36.38,41.06,34,36,24.79
176,Rutgers U/Newark Robeson Stdnt Ctr,40.74,-74.18,350 Martin Luther King Blvd,,,Newark,NJ,34826,282803,49.41,25.29,50.12,1.75,36.38,41.06,34,36,24.79
177,Shoppes on Broad,40.74,-74.17,Broad Street,,,Newark,NJ,34826,282803,49.41,25.29,50.12,1.75,36.38,41.06,34,36,24.79
178,"North Bergen, River Rd.",40.79,-74,7301 River Rd.,,,North Bergen,NJ,57269,63438,49.71,69.53,3.32,6.91,73.12,51.73,32,40,21.26
179,Target North Bergen Commons T-1865,40.8,-74.02,7101 Tonnelle Ave,,,North Bergen,NJ,57269,63438,49.71,69.53,3.32,6.91,73.12,51.73,32,40,21.26
180,"North Brunswick, NJ",40.46,-74.46,522 Shoppes Boulevard,,Shoppes at North Brunswick,North Brunswick,NJ,88723,42591,48.45,50.62,18.78,24.96,19.47,50.31,32,37.7,21.92
181,Target North Brunswick T-2853,40.44,-74.5,101 Grand Ave,,,North Brunswick,NJ,88723,42591,48.45,50.62,18.78,24.96,19.47,50.31,32,37.7,21.92
182,"Northvale, NJ",41.02,-73.95,271B Livingston St.,,Daibes Square at Northvale,Northvale,NJ,92650,4872,50.47,68.72,2.16,26.09,9.85,52.26,,46,22.72
183,Nutley,40.82,-74.16,483 Franklin Avenue,,,Nutley,NJ,93691,28829,47.28,79.8,2.98,11.55,15.74,53.2,30,42.9,20.59
186,Oakland,41.03,-74.24,411 Rampo Valley Rd,,,Oakland,NJ,112944,13145,49.17,91,2.25,5.58,6.97,54.21,26,42.9,24.75
184,Route 35 - Oakhurst,40.26,-74.04,2100 Highway 35,,,Ocean,NJ,67288,8838,50.36,97.64,0.5,0.45,2.43,40.18,,56,13.82
185,Route 35 - Oakhurst,40.26,-74.04,2100 Highway 35,,,Ocean,NJ,82941,27006,48.46,80.73,8.03,6.01,11.7,50.67,25,47.5,21.03
187,"Ocean City, NJ - Asbury Ave.",39.28,-74.58,1061 Asbury Ave,,,Ocean City,NJ,72715,11328,46.23,90.8,2.61,1.83,8.14,43.79,,56,19.14
188,Acme - Old Bridge #2827,40.38,-74.31,3500 US-9,,,Old Bridge,NJ,88540,66880,48.57,75.13,6.98,13.7,13.52,54.6,34,43.4,20.24
189,Old Tappan,41.01,-73.98,216 Old Tappan Road,,,Old Tappan,NJ,141185,5999,48.84,73.78,0.72,22.15,4.58,46.72,,49.1,23.35
12,Paramus Park Mall Center Court,40.96,-74.07,700 Paramus Park,,,Paramus,NJ,105114,26919,49.34,65.63,3.17,28.29,9.45,45.76,29,50.5,19.46
190,Garden State Plaza - Lower level,40.92,-74.08,1 Garden State Plaza,Space #9145,,Paramus,NJ,105114,26919,49.34,65.63,3.17,28.29,9.45,45.76,29,50.5,19.46
191,Rt 17 South Paramus,40.93,-74.07,177 Route 17 South,,,Paramus,NJ,105114,26919,49.34,65.63,3.17,28.29,9.45,45.76,29,50.5,19.46
192,Rt. 4 - Paramus,40.92,-74.07,65 Route 4 West,,,Paramus,NJ,105114,26919,49.34,65.63,3.17,28.29,9.45,45.76,29,50.5,19.46
193,Rte 17N - Paramus,40.95,-74.07,370 Route 17 N,,The Container Store Project,Paramus,NJ,105114,26919,49.34,65.63,3.17,28.29,9.45,45.76,29,50.5,19.46
194,Target Paramus T-2381,40.92,-74.06,900 Bergen Town Center,,,Paramus,NJ,105114,26919,49.34,65.63,3.17,28.29,9.45,45.76,29,50.5,19.46
195,Park Ridge,41.04,-74.03,191 Kinderkamack Road,,,Park Ridge,NJ,106875,8905,50.22,91.16,1.92,2.04,17.5,49.62,,46.6,23.14
196,Hopewell,40.3,-74.78,800 A Denow Road,,,Pennington,NJ,121667,2591,46.82,92.36,2.2,1.81,3.55,48.75,,47.1,22.5
197,John Fenwick Travel Plaza,39.69,-75.45,"Milepost 5.4 NB, NJ Turnpike",,,Penns Grove,NJ,37188,4917,52.8,48.67,35.65,1.28,36.85,37.81,19,32.8,27.6
198,NJ Clara Barton TP,39.72,-75.46,NJTP Mile Marker 5.4 Southbound,,,Penns Grove,NJ,37188,4917,52.8,48.67,35.65,1.28,36.85,37.81,19,32.8,27.6
199,Phillipsburg,40.69,-75.15,1198 US Highway 22,,,Phillipsburg,NJ,49274,14540,48.5,80.13,11.2,1.38,13.33,48.24,,44.8,21.8
200,Stop & Shop - Phillipsburg #816,40.68,-75.15,1278 US Hwy 22,,,Phillipsburg,NJ,49274,14540,48.5,80.13,11.2,1.38,13.33,48.24,,44.8,21.8
201,Target Phillipsburg T-1464,40.67,-75.14,1204 New Brunswick Ave,,,Phillipsburg,NJ,49274,14540,48.5,80.13,11.2,1.38,13.33,48.24,,44.8,21.8
202,Piscataway,40.55,-74.44,1364 Centennial Way,,Centennial Plaza,Piscataway,NJ,89617,57695,50.35,36.28,19.84,38.03,11.34,44.51,30,33.4,16.81
203,Rutgers University Truck,40.52,-74.44,110 Ethel Rd West,Suite B,,Piscataway,NJ,89617,57695,50.35,36.28,19.84,38.03,11.34,44.51,30,33.4,16.81
204,Rutgers University-Plaza at Livings,40.52,-74.43,105 Joyce Kilmer Ave,#30,,Piscataway,NJ,89617,57695,50.35,36.28,19.84,38.03,11.34,44.51,30,33.4,16.81
206,Pompton Lakes,41.01,-74.29,45 Wanaque Avenue,,Pompton Lakes Town Square,Pompton Lakes,NJ,92952,11205,49.64,87.68,1.32,5.55,16.94,58.47,,42.1,19.34
207,Princeton,40.35,-74.66,100 Nassau Street,,,Princeton Junction,NJ,,,,,,,,,,,
208,Princeton Market Fair,40.31,-74.66,3535 Rt. 1 Ste. 426,,Princeton Market Fair,Princeton Junction,NJ,,,,,,,,,,,
209,Franklin Square - Ramsey,41.08,-74.14,561 North Franklin Turnpike,,Franklin Square,Ramsey,NJ,137768,15121,49.07,89.02,0.13,10.18,5.59,53.36,,46.6,24.31
210,Ramsey Train Station,41.06,-74.14,8 West Main Street,,,Ramsey,NJ,137768,15121,49.07,89.02,0.13,10.18,5.59,53.36,,46.6,24.31
211,Red Bank,40.35,-74.07,4-6 White Street,,,Red Bank,NJ,75114,12220,48.8,61.73,13.4,2.25,36.66,58.17,27,41.8,20.81
59,NJ TP Vince Lombardi Travel Plaza,40.83,-74,NJTP MM 116,,,Ridgefield Park,NJ,72191,13070,47.9,69.69,5.87,13.72,42.66,54.58,28,39.3,22.81
212,Northeast Ridgewood,40.98,-74.09,363 RT 17 South,,,Ridgewood,NJ,162011,25554,48.29,79.72,1.66,14.75,7.76,45.12,34,41.8,30.37
213,Ridgewood Downtown,40.98,-74.12,193 E Ridgewood Ave,,,Ridgewood,NJ,162011,25554,48.29,79.72,1.66,14.75,7.76,45.12,34,41.8,30.37
215,Target Riverdale - T2247,40.99,-74.31,94 SR-23,,,Riverdale,NJ,100602,4238,47.45,91.86,0,4.58,10.5,60.67,,41.2,17.7
216,Target Delran T-2104,40.01,-74.96,4000 Route 130,,,Riverside,NJ,60885,7969,53.08,77.6,13.58,1.56,11.96,54.51,,42.5,20.81
217,Rockaway Townsquare Mall,40.91,-74.55,301 Mt. Hope Avenue,,Rockaway Townsquare Mall,Rockaway,NJ,106599,24758,48.49,85.39,3.97,6.43,11.95,54.1,,45.1,20.72
218,Rockaway Townsquare Mall,40.91,-74.55,301 Mt. Hope Avenue,,Rockaway Townsquare Mall,Rockaway,NJ,83714,6473,48.9,84.33,4.8,7.66,17.13,51.83,,47.6,19.76
219,"Rockaway, Ring Road",40.91,-74.56,395 Mount Hope Avenue,300,,Rockaway,NJ,106599,24758,48.49,85.39,3.97,6.43,11.95,54.1,,45.1,20.72
220,"Rockaway, Ring Road",40.91,-74.56,395 Mount Hope Avenue,300,,Rockaway,NJ,83714,6473,48.9,84.33,4.8,7.66,17.13,51.83,,47.6,19.76
221,Target Rockaway T-1864,40.91,-74.56,381 Mt. Hope Ave,,,Rockaway,NJ,106599,24758,48.49,85.39,3.97,6.43,11.95,54.1,,45.1,20.72
222,Target Rockaway T-1864,40.91,-74.56,381 Mt. Hope Ave,,,Rockaway,NJ,83714,6473,48.9,84.33,4.8,7.66,17.13,51.83,,47.6,19.76
223,Roseland,40.82,-74.33,43 Eisenhower Parkway,,Eagle Rock Plaza,Roseland,NJ,110208,5907,46.81,85.29,0,10.16,7.33,51.18,,50.4,20.03
224,96 Meadow Road,40.82,-74.1,96 Meadow Road,,,Rutherford,NJ,93787,18622,48.16,74.28,2.28,17.54,16.8,52.27,31,43.6,20.56
225,Sea Girt,40.14,-74.06,2150 Highway 35,#E-18,Brook 35 Plaza,Sea Girt,NJ,126667,1714,50.29,99.77,0.18,0.06,2.39,39.67,,58.8,14.18
226,NJ Alexander Hamilton Travel Plaza,40.78,-74.06,"NJ Turnpike, Milemarker 111.6 S",,,Secaucus,NJ,99883,19279,48.65,61.47,3.06,30.06,16.88,52.17,30,46.5,18.9
227,"Secaucus, Harmon Meadow",40.79,-74.05,700 Plaza Drive,,The Plaza at the Meadows,Secaucus,NJ,99883,19279,48.65,61.47,3.06,30.06,16.88,52.17,30,46.5,18.9
231,Shrewsbury,40.33,-74.06,551 Route 35,,The Grove,Shrewsbury,NJ,122321,4051,44.31,96.94,0.59,1.58,1.78,45.79,,46.4,25.72
232,Shrewsbury,40.33,-74.06,551 Route 35,,The Grove,Shrewsbury,NJ,57697,1117,43.78,59.27,25.51,10.3,15.31,65.8,,39.6,17.73
235,Somers Point,39.33,-74.6,55 Bethel Road,,Ocean Heights Plaza,Somers Point,NJ,52397,10644,45.02,77.39,13.8,5.67,10.7,50.94,,45.8,21.35
241,Somerville Town Ctr.,40.57,-74.62,"145 W. Main St, unit A-1",Unit A1,,Somerville,NJ,72731,12234,50.23,71.08,9.6,11.24,21.78,53.83,,39.3,19.57
242,Cheesequake Travel Plaza,40.47,-74.29,Garden State Parkway Mile Post 124,PO Box 307,,South Amboy,NJ,65074,8811,51.84,88.12,5.95,3.72,13.74,52.08,29,46.5,16.87
243,"Sayreville, NJ",40.46,-74.3,957 Route 9 N,,,South Amboy,NJ,65074,8811,51.84,88.12,5.95,3.72,13.74,52.08,29,46.5,16.87
244,Target South Brunswick NJ T-2256,40.38,-74.57,4190 Rt 1 N,,,South Brunswick,NJ,113815,45602,48.98,44.81,8.99,42.34,6.84,51.27,36,47.2,25.8
245,South Orange,40.75,-74.26,11 Sloan Street,,,South Orange Village,NJ,121637,16503,48.32,63.52,26.6,5.04,6.56,48.21,33,34.2,20.44
246,Target South Plainfield T-1929,40.55,-74.43,5000 Hadley Center Dr,,,South Plainfield,NJ,91889,24154,49.88,61.9,11.16,16.88,16.51,51.83,30,45.2,21.26
247,Acme - Wall Township #780,40.15,-74.06,2007 Route 35,,,Spring Lake,NJ,88679,2980,51.51,99.4,0,0.6,0,42.48,,55.6,20.5
145,Target Stafford Township T-2392,39.71,-74.29,209 Stafford Park Blvd,,,Stafford,NJ,76527,27012,49.86,93.39,2.54,1.33,6.66,48.94,,45.9,20.51
248,Summit,40.72,-74.36,2 Beechwood Road,,,Summit,NJ,132443,22155,49.29,81.2,3.53,7.72,15.6,46.88,31,40.6,28.6
249,Jersey Shore Premium Outlets,40.22,-74.09,1 Premium Outlet Blvd.,,,Tinton Falls,NJ,79206,17902,44.89,79.26,8.84,5.5,5.07,48.73,,52.4,18.27
250,Ocean County Mall,39.98,-74.18,1201 HOOPER AVE,1072,Ocean County Mall,Toms River,NJ,76051,91415,48.5,88.23,3.2,4.19,8.35,48.26,,46.1,20.74
251,Stop & Shop-Toms River #811,39.95,-74.16,353 Route 37 East,,,Toms River,NJ,76051,91415,48.5,88.23,3.2,4.19,8.35,48.26,,46.1,20.74
252,Toms River Route 9,40.05,-74.22,2360 Lakewood Rd,,,Toms River,NJ,76051,91415,48.5,88.23,3.2,4.19,8.35,48.26,,46.1,20.74
253,Richard Stockton Travel Plaza,40.18,-74.64,200 Uncle Petes Rd,,,Trenton,NJ,35524,84867,51.38,39.62,50.48,1.43,35.96,40.45,24,35.3,25.18
266,Kean University-Thompson Library,40.68,-74.24,1000 Morris Ave,,,Union,NJ,79324,58499,48.31,49.04,30.6,10.41,16.34,51.51,29,47.6,18.22
267,Kean University-Thompson Library,40.68,-74.24,1000 Morris Ave,,,Union,NJ,108333,5669,51.58,83.56,9.21,4.07,5.91,47.17,,43,25.97
268,Rt. 22 - Center Island,40.69,-74.31,2698 Route 22 East,,,Union,NJ,79324,58499,48.31,49.04,30.6,10.41,16.34,51.51,29,47.6,18.22
269,Rt. 22 - Center Island,40.69,-74.31,2698 Route 22 East,,,Union,NJ,108333,5669,51.58,83.56,9.21,4.07,5.91,47.17,,43,25.97
270,Target Union T-2141,40.72,-74.29,2235 Springfield Ave,,,Union,NJ,79324,58499,48.31,49.04,30.6,10.41,16.34,51.51,29,47.6,18.22
271,Target Union T-2141,40.72,-74.29,2235 Springfield Ave,,,Union,NJ,108333,5669,51.58,83.56,9.21,4.07,5.91,47.17,,43,25.97
272,Acme - Vernon #2820,41.19,-74.49,530 CR-515,,,Vernon,NJ,90805,22572,48.99,93.23,2.48,0.6,9.66,55.6,,44.2,20.38
273,Vineland Cumberland Mall,39.43,-75.04,3849 S. Delsea Road,Space #A0013,Cumberland Mall,Vineland,NJ,51113,60824,46.94,69.68,14.37,1.37,39.06,44.75,,41.7,23.65
274,"Cedar Hill Shopping Center,Voorhees",39.84,-74.93,148 Route 73,,Cedar Hill Shopping Center,Voorhees,NJ,85199,29386,48.59,66.72,10.33,19.2,4.39,45.72,30,48.1,20.26
275,Warren,40.62,-74.49,4 Mount Bethel Rd,,,Warren,NJ,154647,15998,48.73,78.87,0.79,18.11,5.67,48.57,30,47.4,22.77
254,5340 Route 42 Turnersville,39.76,-75.05,5340 Route 42,,,Washington,NJ,91149,48119,48.4,87.04,5.55,4.44,3.92,51.29,30,42.7,21.42
255,5340 Route 42 Turnersville,39.76,-75.05,5340 Route 42,,,Washington,NJ,128750,9368,50.09,91.99,0.25,6.37,10.58,51.75,,46,20.73
256,5340 Route 42 Turnersville,39.76,-75.05,5340 Route 42,,,Washington,NJ,64282,6517,47.77,85.51,5.88,4.07,13.7,57,,39.5,22.79
257,5340 Route 42 Turnersville,39.76,-75.05,5340 Route 42,,,Washington,NJ,67143,736,52.85,89.4,1.9,0.41,13.04,49.32,,46.2,18.34
258,5340 Route 42 Turnersville,39.76,-75.05,5340 Route 42,,,Washington,NJ,105768,6494,46.74,91.87,4.93,1.97,2.83,52.79,,49.1,19.31
259,5340 Route 42 Turnersville,39.76,-75.05,5340 Route 42,,,Washington,NJ,140445,18713,48.01,93.56,1.45,3.8,3.89,49.45,,45,25.41
260,Target Turnersville T-1132,39.73,-75.04,4001 Black Horse Pike,,,Washington,NJ,91149,48119,48.4,87.04,5.55,4.44,3.92,51.29,30,42.7,21.42
261,Target Turnersville T-1132,39.73,-75.04,4001 Black Horse Pike,,,Washington,NJ,128750,9368,50.09,91.99,0.25,6.37,10.58,51.75,,46,20.73
262,Target Turnersville T-1132,39.73,-75.04,4001 Black Horse Pike,,,Washington,NJ,64282,6517,47.77,85.51,5.88,4.07,13.7,57,,39.5,22.79
263,Target Turnersville T-1132,39.73,-75.04,4001 Black Horse Pike,,,Washington,NJ,67143,736,52.85,89.4,1.9,0.41,13.04,49.32,,46.2,18.34
264,Target Turnersville T-1132,39.73,-75.04,4001 Black Horse Pike,,,Washington,NJ,105768,6494,46.74,91.87,4.93,1.97,2.83,52.79,,49.1,19.31
265,Target Turnersville T-1132,39.73,-75.04,4001 Black Horse Pike,,,Washington,NJ,140445,18713,48.01,93.56,1.45,3.8,3.89,49.45,,45,25.41
276,Target Watchung,40.64,-74.41,1515 US Highway 22,,,Watchung,NJ,121678,5961,46.87,80.07,1.04,14.86,13.22,43.05,,44.4,24.14
277,Berdan Ave & Hamburg Turnpike,40.96,-74.24,1118 Hamburg Turnpike,,,Wayne,NJ,108092,55154,47.17,87.06,1.79,8.2,12.06,49.6,28,44.5,20.51
278,Macy's - Willowbrook,40.89,-74.26,1100 Willowbrook Blvd,,Willowbrook Mall,Wayne,NJ,108092,55154,47.17,87.06,1.79,8.2,12.06,49.6,28,44.5,20.51
279,Paterson-Hamburg Tpke - Wayne,40.94,-74.2,183 Hamburg Turnpike,,,Wayne,NJ,108092,55154,47.17,87.06,1.79,8.2,12.06,49.6,28,44.5,20.51
280,Wayne Rt. 23,40.95,-74.27,1606 Route 23 North,,,Wayne,NJ,108092,55154,47.17,87.06,1.79,8.2,12.06,49.6,28,44.5,20.51
281,Wayne West Belt Plaza,40.89,-74.25,57 state route 23,,,Wayne,NJ,108092,55154,47.17,87.06,1.79,8.2,12.06,49.6,28,44.5,20.51
282,Willowbrook Mall Food Court,40.89,-74.26,1400 Willowbrook Mall,,Willowbrook Mall,Wayne,NJ,108092,55154,47.17,87.06,1.79,8.2,12.06,49.6,28,44.5,20.51
283,West Caldwell,40.85,-74.3,546 Passaic Ave.,,,West Caldwell,NJ,105931,10932,46.53,90.92,1.2,7.02,5.31,49.35,27,46.5,20.02
284,West New York,40.78,-74.01,55-1 Riverwalk Place,,,West New York,NJ,50477,53345,49.82,59.53,3.39,6.2,76.95,51.22,36,36.4,20.9
285,Westfield,40.65,-74.35,117 Central Avenue,,,Westfield,NJ,159923,30591,47.75,85.27,3.48,6.28,7.6,47.46,37,42.6,28.92
286,Westwood Avenue,40.99,-74.03,102 Westwood Avenue,104,Meisel Building,Westwood,NJ,95685,11246,46.51,78.53,6.89,8.8,16.57,52.86,,43.4,22.88
233,"Sicklerville, NJ",39.74,-75.01,611 Berlin Cross Keys Rd.,,,Winslow,NJ,76640,39317,49.13,53.43,35.73,2.37,10.65,50.16,33,42.9,23.79
234,Target Gloucester T-2181,39.75,-74.99,1615 Berlin Cross Keys Rd,,,Winslow,NJ,76640,39317,49.13,53.43,35.73,2.37,10.65,50.16,33,42.9,23.79
123,Rt. 1 North Woodbridge,40.56,-74.3,774 Route 1 N,,,Woodbridge,NJ,83266,101639,51.15,56.96,11.54,24.58,18.87,49.69,30,45.3,20.43
287,NJ Grover Cleveland Travel Plaza,40.56,-74.26,Mile Marker 92.9,,,Woodbridge,NJ,83266,101639,51.15,56.96,11.54,24.58,18.87,49.69,30,45.3,20.43
288,Thomas Edison Travel Plza,40.56,-74.27,"New Jersey Turnpike, Mile Post 92.9 S",,,Woodbridge,NJ,83266,101639,51.15,56.96,11.54,24.58,18.87,49.69,30,45.3,20.43
289,Woodbridge Mall,40.56,-74.3,250 Woodbridge Center Drive,,Woodbridge Center,Woodbridge,NJ,83266,101639,51.15,56.96,11.54,24.58,18.87,49.69,30,45.3,20.43
290,Acme - Woodcliff Lake #1069,41.04,-74.07,520 Chestnut Ridge Rd,,,Woodcliff Lake,NJ,161250,5868,47.67,89.83,2.66,6.51,1.57,49.54,,46.3,24.4
291,Wyckoff,41.01,-74.17,325 Franklin Avenue,,,Wyckoff,NJ,147463,17231,47.07,92.51,0.59,5.2,3.4,44.07,28,44.9,25.53
