,City,Income,Population,Male Pop (%),White (%),Black (%),Asian (%),Hispanic (%),Employed (%),Travel Time to Work (mins),Median Age,Age <18 (%)
73,Manchester,41689,43418,43.83,90.05,3.87,2.18,5.46,32.37,28.0,65.6,10.05
74,Mantoloking,108125,294,52.04,94.9,3.74,0.68,3.74,24.49,,70.9,11.56
75,Ocean,67288,8838,50.36,97.64,0.5,0.45,2.43,40.18,,56.0,13.82
76,Ocean Gate,62813,1911,45.0,94.92,4.71,0.37,7.8,46.36,,43.6,18.26
77,Plumsted,91438,8509,50.88,94.44,3.74,0.82,8.81,54.04,,40.4,24.41
78,Point Pleasant Beach,92143,4577,49.07,94.25,1.29,0.55,7.34,49.46,,50.7,18.37
79,Brick,73051,75118,48.86,91.42,2.24,1.89,9.76,49.61,30.0,46.4,19.49
80,Harvey Cedars,85417,430,48.14,98.14,0.23,0.7,0.47,31.4,,66.5,9.07
81,Seaside Park,71641,1566,42.98,97.83,0.96,0.26,0.32,38.51,,57.8,12.9
82,Stafford,76527,27012,49.86,93.39,2.54,1.33,6.66,48.94,,45.9,20.51
83,Eagleswood,77708,1605,52.65,94.52,0.0,0.0,1.87,48.91,,44.9,21.74
84,Lavallette,68098,2042,46.23,99.56,0.0,0.0,3.18,33.89,,64.7,10.14
85,Little Egg Harbor,63590,20695,48.29,94.2,0.95,1.67,5.35,43.64,,47.3,19.75
86,Point Pleasant,93276,18519,48.23,98.38,0.39,0.17,4.61,54.61,29.0,42.1,20.73
87,Lacey,78649,28444,48.65,96.92,0.82,1.18,4.74,49.1,,44.3,20.52
88,Berkeley,48054,41676,45.47,95.39,1.49,1.56,5.91,36.1,,61.0,12.8
89,Barnegat Light,75000,494,42.71,97.77,0.0,0.4,0.0,33.6,,66.7,7.89
90,Lakewood,45321,99467,49.64,91.16,3.28,1.01,16.0,29.08,,19.3,46.97
91,Bay Head,112188,1011,48.37,92.98,0.0,1.78,3.36,42.14,,56.8,17.9
92,Long Beach,82192,3040,45.36,98.95,0.0,0.23,0.23,29.74,,67.7,4.05
93,Seaside Heights,38306,2894,44.4,72.18,2.59,2.28,33.52,50.69,,37.6,21.15
94,South Toms River,62500,3741,48.73,57.5,18.95,0.8,29.4,44.96,,36.8,30.85
95,Surf City,77885,1238,43.62,99.68,0.0,0.0,1.7,40.71,,62.2,8.32
96,Jackson,88063,56501,48.04,87.67,5.45,3.47,9.51,50.5,32.0,44.4,22.34
97,Tuckerton,57868,3371,49.51,94.07,1.9,3.11,1.6,48.35,,43.3,19.88
98,Absecon,63887,8370,47.93,79.86,8.69,6.38,7.42,46.31,,51.2,19.39
99,Buena Vista,58942,7488,51.55,83.41,7.52,0.43,13.21,41.12,,41.0,23.49
100,Port Republic,101500,1056,49.72,96.12,0.95,1.99,0.47,54.45,,49.7,17.14
101,County subdivisions not,-666666666,0,,,,,,,-inf,-666666666.0,
102,Estell Manor,85313,1742,51.95,96.56,1.26,0.46,4.88,58.44,,46.0,18.37
103,Corbin City,65313,497,46.28,95.77,0.4,1.21,1.21,49.3,,44.5,18.51
104,Mullica,73995,6088,51.79,85.38,6.96,0.18,14.18,48.05,,47.2,19.02
105,Somers Point,52397,10644,45.02,77.39,13.8,5.67,10.7,50.94,,45.8,21.35
106,Folsom,69712,1804,52.88,88.41,5.71,1.39,7.54,47.01,,46.8,21.62
107,Margate City,69896,6200,45.73,94.16,2.18,1.45,1.73,48.65,25.0,61.3,9.05
108,Pleasantville,39924,20568,47.95,42.07,38.88,1.91,45.56,45.39,20.0,35.7,24.81
109,Brigantine,65724,9164,47.61,92.44,2.04,2.85,7.41,47.89,,56.5,11.82
110,Egg Harbor City,50720,4222,51.63,53.62,23.73,5.97,24.35,43.42,,39.2,29.16
111,Linwood,91861,6959,47.52,90.29,1.61,4.02,6.14,49.03,,48.8,22.43
112,Buena,50804,4510,54.28,75.41,4.77,2.17,28.45,43.08,,41.2,23.02
113,Egg Harbor,78099,43651,47.29,68.78,7.98,12.31,17.02,49.16,22.0,42.5,25.12
114,Galloway,65000,37029,47.4,69.51,11.6,11.46,11.48,49.32,,40.6,19.28
115,Hamilton,65084,26663,50.95,62.84,19.46,6.8,15.46,50.47,,42.8,21.49
116,Ventnor City,52799,10429,46.29,82.65,3.52,9.82,23.02,44.48,,50.6,16.41
117,Weymouth,61111,2772,45.13,85.86,8.95,1.84,2.2,39.86,,54.2,20.24
118,Hammonton,68655,14557,48.67,82.83,2.89,1.39,20.64,48.28,,44.6,22.52
119,Longport,106719,958,45.3,97.39,0.63,0.73,0.94,40.5,,61.5,10.65
120,Northfield,73586,8480,47.11,89.98,1.44,5.31,12.48,50.0,19.0,43.8,23.76
121,Atlantic City,26006,39075,49.58,31.97,36.24,18.23,29.27,39.01,,41.7,25.21
122,Swedesboro,78267,2609,44.15,75.62,15.02,0.65,18.32,49.29,,39.6,27.41
123,Woodbury,53618,9980,46.85,59.77,27.29,0.93,11.17,47.06,,45.4,21.84
124,Clayton,65595,8475,49.09,74.4,16.09,1.53,4.52,47.36,,43.4,23.58
125,Woolwich,123347,12172,48.23,79.12,9.94,6.38,6.06,50.92,,37.9,30.95
126,South Harrison,121406,3190,50.28,96.71,1.76,0.38,5.14,51.82,,37.7,27.46
127,Harrison,130491,12884,50.59,93.85,2.65,1.46,2.89,52.68,,40.1,28.24
128,Washington,91149,48119,48.4,87.04,5.55,4.44,3.92,51.29,30.0,42.7,21.42
129,Westville,54375,4223,46.39,86.62,5.11,3.03,5.87,47.71,,42.5,23.42
130,Mantua,93601,15110,46.27,93.61,2.68,2.57,3.23,53.96,,43.5,22.91
131,Newfield,74226,1626,44.9,92.44,1.85,0.0,7.81,53.87,,42.9,20.85
132,Pitman,73538,8886,47.14,91.54,2.05,2.28,2.79,49.4,,43.6,20.82
133,Monroe,74800,36779,50.06,77.84,15.04,2.3,6.28,48.33,32.0,41.5,23.98
134,Wenonah,110694,2193,53.35,91.97,1.23,1.69,2.1,53.35,,45.2,24.21
135,Deptford,67983,30556,47.29,74.04,13.75,5.92,7.43,51.52,26.0,44.9,20.13
136,East Greenwich,123118,10320,47.67,82.95,8.7,5.25,3.11,47.21,,39.6,28.05
137,West Deptford,71705,21348,48.87,85.49,8.82,2.0,3.95,50.89,26.0,42.7,20.42
138,Franklin,81057,16579,51.26,83.85,6.76,2.45,6.88,50.07,,44.1,21.83
139,Woodbury Heights,80444,3008,49.87,93.58,1.7,1.2,5.62,49.24,,44.1,20.55
140,Elk,81649,4123,45.53,81.64,12.93,0.73,4.41,53.58,,42.1,19.6
141,Glassboro,69000,19387,51.07,67.83,18.63,2.87,12.02,47.27,,33.2,17.65
142,Logan,105804,5976,50.15,78.78,12.1,1.02,6.56,54.67,,38.5,25.72
143,Greenwich,70255,4861,46.02,95.0,3.48,1.01,2.2,45.34,,42.0,22.05
144,National Park,61397,2998,45.06,92.43,2.7,0.7,2.8,48.9,,39.3,23.52
145,Paulsboro,46429,5970,45.29,72.78,25.61,0.0,6.05,41.64,21.0,37.8,25.13
146,Milltown,99704,7069,48.18,88.6,5.26,3.92,12.93,49.44,,43.5,23.03
147,North Brunswick,88723,42591,48.45,50.62,18.78,24.96,19.47,50.31,32.0,37.7,21.92
148,Sayreville,79620,44744,48.8,67.26,12.94,16.05,12.41,51.86,31.0,41.7,21.48
149,South River,62332,16345,51.71,81.94,6.32,4.04,24.19,50.23,30.0,37.5,22.9
150,Woodbridge,83266,101639,51.15,56.96,11.54,24.58,18.87,49.69,30.0,45.3,20.43
151,Spotswood,75226,8443,49.09,91.29,3.39,2.83,10.79,47.07,,46.8,20.48
152,East Brunswick,105959,48673,46.91,66.3,4.56,25.57,7.52,51.67,35.0,46.1,21.07
153,Middlesex,73196,13875,48.99,68.35,9.74,7.36,24.61,50.33,,44.5,24.04
154,South Amboy,65074,8811,51.84,88.12,5.95,3.72,13.74,52.08,29.0,46.5,16.87
155,Carteret,73892,24040,47.23,53.07,15.36,23.32,34.35,49.73,,38.9,22.56
156,Helmetta,79702,2321,47.35,86.86,5.0,5.21,11.29,56.66,,42.1,18.91
157,Highland Park,75913,14250,48.2,68.01,10.22,13.91,15.28,54.24,,38.6,23.84
158,Cranbury,138906,3844,52.89,78.67,6.01,12.12,4.92,46.75,,51.5,22.92
159,Perth Amboy,50883,52563,50.87,78.68,8.24,1.53,82.21,45.74,23.0,32.2,27.39
160,South Brunswick,113815,45602,48.98,44.81,8.99,42.34,6.84,51.27,36.0,47.2,25.8
161,South Plainfield,91889,24154,49.88,61.9,11.16,16.88,16.51,51.83,30.0,45.2,21.26
162,Dunellen,78447,7392,50.74,66.17,10.28,5.74,29.13,50.3,,40.6,27.02
163,Metuchen,116632,13940,49.45,75.65,5.19,14.69,7.03,52.5,,44.5,24.29
164,Piscataway,89617,57695,50.35,36.28,19.84,38.03,11.34,44.51,30.0,33.4,16.81
165,Plainsboro,101993,23487,49.26,35.66,5.43,54.0,3.17,50.3,34.0,46.5,25.11
166,Jamesburg,83095,6038,47.78,82.76,5.48,8.08,19.2,53.69,,40.5,27.24
167,Monroe,78263,43796,47.15,73.91,3.79,19.84,4.08,38.88,,62.0,18.11
168,Old Bridge,88540,66880,48.57,75.13,6.98,13.7,13.52,54.6,34.0,43.4,20.24
169,Edison,95622,102304,48.83,36.35,7.13,49.02,9.58,50.14,34.0,50.2,22.24
170,New Brunswick,38413,56792,48.89,66.19,13.96,9.74,52.99,38.66,25.0,23.4,23.59
171,Pittsgrove,77537,9009,51.46,90.21,5.99,0.84,4.28,50.89,,46.5,20.2
172,Quinton,65515,2474,45.63,85.49,11.36,0.4,4.89,44.7,,43.5,21.26
173,Elsinboro,73523,1165,49.27,85.67,8.15,1.63,6.87,45.32,,44.6,21.37
174,Upper Pittsgrove,95489,3397,51.9,93.64,1.15,1.27,4.68,49.99,,47.2,20.72
175,Lower Alloways Creek,84688,1661,49.79,89.89,4.15,0.0,2.53,47.44,,47.6,22.16
176,Mannington,81667,1721,60.08,68.16,22.66,1.45,11.1,36.2,,49.0,14.58
177,Elmer,76458,1394,49.64,92.18,0.36,0.0,3.23,50.5,23.0,41.9,24.46
178,Oldmans,78636,1714,48.6,91.77,2.92,0.76,3.5,52.63,,42.1,21.76
179,Pilesgrove,85889,4048,48.07,89.13,7.91,2.0,5.76,49.98,,46.3,21.79
180,Alloway,71648,3362,54.22,88.43,7.17,0.59,2.32,48.63,,46.3,21.98
181,Carneys Point,53892,7794,45.27,78.36,16.03,0.86,13.46,45.74,22.0,41.8,18.82
182,Salem,25171,4877,43.45,32.48,57.64,0.31,10.79,32.03,,39.0,30.94
183,Woodstown,76071,3501,43.84,86.49,8.91,0.0,3.66,49.27,,40.2,24.05
184,Penns Grove,37188,4917,52.8,48.67,35.65,1.28,36.85,37.81,19.0,32.8,27.6
185,Pennsville,62134,12742,47.64,92.58,2.5,1.44,2.87,47.57,,45.0,20.83
186,Lower,60234,22051,49.26,94.27,2.06,0.62,6.74,48.37,,49.0,17.2
187,West Wildwood,52396,435,56.09,99.31,0.23,0.0,0.23,43.22,,58.4,11.72
188,Wildwood Crest,59436,3176,50.35,98.65,0.0,0.88,7.81,41.97,,58.8,15.3
189,Dennis,67024,6298,47.98,98.43,0.33,0.75,6.1,43.65,,47.0,21.71
190,Audubon Park,49250,951,39.75,98.84,0.0,0.0,0.84,51.1,,52.1,9.57
191,Barrington,72602,6811,48.38,93.79,2.69,0.46,3.42,54.94,27.0,40.0,19.12
192,Haddonfield,138920,11428,49.74,94.25,1.1,2.07,3.81,47.79,26.0,43.6,28.08
193,Runnemede,61104,8391,46.19,79.17,8.07,4.11,11.95,50.46,,42.2,20.33
194,Voorhees,85199,29386,48.59,66.72,10.33,19.2,4.39,45.72,30.0,48.1,20.26
195,Haddon Heights,90387,7530,47.22,94.97,0.93,1.43,2.99,51.93,,44.9,19.69
196,Pennsauken,67495,35863,48.15,43.83,26.6,7.38,31.87,48.56,25.0,45.0,22.31
197,Tavistock,-666666666,4,50.0,100.0,0.0,0.0,0.0,100.0,,-666666666.0,0.0
198,Oaklyn,65301,4009,48.96,90.92,3.72,1.72,3.84,55.4,,39.6,18.63
199,Pine Hill,51286,10517,46.18,64.82,25.63,1.57,9.73,46.52,,40.2,23.79
200,Waterford,89898,10749,53.6,87.12,4.04,0.34,5.9,52.25,,42.8,21.54
201,Lawnside,64103,2917,43.71,5.69,85.43,1.13,4.39,40.42,,51.5,18.34
202,Magnolia,53938,4310,51.97,72.16,12.81,3.16,10.42,55.22,,36.7,19.44
203,Mount Ephraim,67340,4641,46.0,92.2,5.88,0.39,1.31,54.92,,37.0,18.32
204,Camden,26105,75550,47.92,21.22,45.4,3.18,48.48,34.89,23.0,32.0,31.42
205,Gloucester,73701,64034,48.75,73.69,15.5,4.1,6.86,53.75,28.0,42.4,20.97
206,Hi-Nella,45132,861,45.53,71.54,13.47,3.95,11.5,56.45,,36.3,21.02
207,Collingswood,64885,13969,48.96,81.83,12.02,2.15,8.27,58.14,25.0,42.8,18.65
208,Gloucester City,51152,11333,46.55,80.62,3.5,5.76,14.38,45.08,23.0,38.0,26.58
209,Stratford,72955,7019,46.87,81.59,7.92,6.31,4.19,52.16,26.0,44.8,20.06
210,Hawthorne,93675,19065,49.64,90.62,2.68,0.79,20.58,54.6,,39.2,23.08
211,North Haledon,96851,8564,49.78,91.39,0.0,4.17,7.74,52.27,,52.2,16.77
212,Ringwood,116198,12451,49.97,89.29,1.35,4.08,6.67,52.26,,44.2,24.64
213,Bloomingdale,80516,8139,48.32,90.88,2.14,3.91,18.0,49.47,,39.6,20.91
214,Little Falls,85427,14524,48.2,85.59,3.47,6.75,11.11,54.25,,44.2,17.24
215,Passaic,34920,71057,50.74,56.95,9.91,3.38,73.19,38.71,26.0,29.6,32.97
216,Paterson,36106,147890,47.8,29.97,27.77,3.92,60.73,41.23,23.0,36.9,26.56
217,Wayne,108092,55154,47.17,87.06,1.79,8.2,12.06,49.6,28.0,44.5,20.51
218,West Milford,98843,26759,50.63,93.11,1.22,1.59,9.05,52.26,,45.5,22.09
219,Pompton Lakes,92952,11205,49.64,87.68,1.32,5.55,16.94,58.47,,42.1,19.34
220,Totowa,97729,10829,47.62,84.56,3.48,6.36,16.41,50.98,,44.4,17.53
221,Clifton,74963,86207,47.9,66.39,6.73,9.82,37.01,51.71,27.0,40.7,20.38
222,Wanaque,83010,11782,48.83,87.1,3.99,4.35,9.7,49.54,,48.2,18.62
223,Haledon,65033,8440,50.04,66.27,8.21,4.79,48.21,46.17,24.0,35.7,23.84
224,Prospect Park,50938,5955,50.7,59.35,21.44,2.22,56.36,46.82,,30.9,28.5
225,West Cape May,61250,1051,50.33,83.54,4.66,5.9,10.85,42.91,,51.4,20.17
226,Woodbine,41111,2454,57.25,61.25,25.26,0.61,24.78,37.57,,48.3,19.85
227,Cape May,58958,3500,53.74,89.2,2.83,0.09,15.34,30.89,,47.7,10.09
228,Ocean City,72715,11328,46.23,90.8,2.61,1.83,8.14,43.79,,56.0,19.14
229,Upper,81541,11990,49.23,97.61,0.73,0.28,2.23,51.99,,43.1,21.76
230,Avalon,90000,1424,46.91,99.02,0.21,0.77,1.12,38.41,,64.8,7.16
231,County subdivisions not,-666666666,0,,,,,,,-inf,-666666666.0,
232,Sea Isle City,72153,1971,47.89,98.93,0.05,0.86,0.71,37.09,,63.0,9.23
233,Stone Harbor,101406,1013,46.4,99.31,0.2,0.49,0.59,40.28,,61.4,11.85
234,Wildwood,29945,5136,48.46,85.51,7.44,1.79,23.23,36.86,,47.1,16.71
235,Cape May Point,46964,204,46.08,96.08,2.94,0.0,0.0,17.65,,68.7,1.96
236,North Wildwood,45629,3895,43.72,97.48,1.85,0.0,1.08,38.41,,55.0,12.5
237,Middle,62249,18623,48.91,83.17,11.83,1.34,5.99,45.51,21.0,46.1,19.26
238,Brooklawn,62697,2006,49.05,83.15,5.68,2.04,7.73,52.69,,39.6,20.94
239,Cherry Hill,97069,71204,48.9,73.88,6.65,13.46,7.03,51.85,26.0,45.6,22.08
240,Pine Valley,-666666666,4,50.0,100.0,0.0,0.0,0.0,50.0,,65.0,0.0
241,Bellmawr,49713,11482,50.58,78.89,2.33,9.8,11.66,48.67,,44.5,21.39
242,Berlin,90354,7612,47.21,86.51,4.15,2.75,6.44,47.83,,44.6,24.26
243,Clementon,52634,4933,45.69,67.77,27.87,0.0,12.79,45.19,,40.4,22.34
244,Gibbsboro,84250,2183,52.04,92.21,2.11,0.14,6.32,52.22,,46.0,20.25
245,Haddon,86360,14612,47.34,93.64,2.37,2.05,4.07,54.08,,43.0,20.01
246,Laurel Springs,82250,1917,51.07,92.85,3.18,1.98,3.86,52.48,,42.6,20.24
247,Lindenwold,41346,17481,44.27,39.53,34.04,1.47,27.59,49.47,30.0,45.4,22.8
248,Winslow,76640,39317,49.13,53.43,35.73,2.37,10.65,50.16,33.0,42.9,23.79
249,Woodlynne,45201,2950,51.63,27.32,31.97,11.86,47.93,44.85,,31.9,30.47
250,Audubon,80925,8736,47.6,94.52,3.87,0.16,2.15,56.77,,43.3,20.1
251,Berlin,59122,5453,48.23,78.91,11.31,4.29,5.56,49.81,,45.0,20.08
252,Merchantville,70563,3769,48.45,58.66,18.89,6.05,22.07,48.63,26.0,48.4,23.83
253,Chesilhurst,52000,1647,51.18,39.34,43.23,1.21,15.66,41.96,,53.0,13.11
254,Somerdale,61964,5417,48.38,62.8,22.82,4.43,12.83,58.8,,44.6,13.46
255,Saddle River,173333,3248,47.78,70.75,8.68,17.49,4.37,43.9,,57.8,17.61
256,Edgewater,103505,12165,45.45,55.36,5.18,35.66,13.54,52.58,37.0,42.2,20.48
257,Emerson,111536,7668,47.31,86.32,1.08,8.93,13.13,48.47,,44.3,23.85
258,Franklin Lakes,155458,10953,49.69,85.34,1.78,8.49,7.62,46.32,,48.9,23.14
259,Hasbrouck Heights,87800,12205,47.67,79.69,2.94,12.89,14.6,52.08,27.0,43.6,20.14
260,Little Ferry,61341,10942,49.77,63.16,2.74,26.21,27.34,54.13,,43.5,15.44
261,Maywood,86100,9789,46.35,71.25,4.7,15.63,20.82,53.98,,46.1,19.63
262,North Arlington,74481,15877,51.15,81.16,2.83,8.09,27.65,50.89,,44.7,18.76
263,Northvale,92650,4872,50.47,68.72,2.16,26.09,9.85,52.26,,46.0,22.72
264,Oradell,137583,8222,49.04,80.5,2.44,13.48,4.27,48.05,,47.9,26.06
265,Ridgefield,66690,11369,51.47,61.7,1.12,29.92,28.65,50.11,,42.9,18.72
266,Teaneck,106411,40977,48.82,54.36,27.63,8.49,19.13,48.84,31.0,40.2,23.98
267,Upper Saddle River,176674,8339,49.09,78.27,3.72,13.98,6.44,46.16,,44.2,30.0
268,Wyckoff,147463,17231,47.07,92.51,0.59,5.2,3.4,44.07,28.0,44.9,25.53
269,Closter,130670,8710,49.4,59.25,3.86,35.98,7.38,46.7,,47.3,25.07
270,Elmwood Park,76907,20293,49.58,74.75,6.67,8.46,27.11,51.73,24.0,40.1,22.36
271,Ho-Ho-Kus,176518,4162,45.92,90.29,0.02,6.97,8.58,46.78,,44.2,28.54
272,Ridgefield Park,72191,13070,47.9,69.69,5.87,13.72,42.66,54.58,28.0,39.3,22.81
273,Ridgewood,162011,25554,48.29,79.72,1.66,14.75,7.76,45.12,34.0,41.8,30.37
274,Allendale,151875,6820,47.9,85.12,1.09,11.74,1.8,45.72,,47.8,28.04
275,Cliffside Park,67799,24861,46.22,66.9,3.25,16.74,30.06,53.65,34.0,46.2,15.82
276,East Rutherford,77400,9433,48.49,68.72,4.7,19.43,20.65,53.04,27.0,39.0,18.46
277,Rochelle Park,78333,5677,46.52,81.52,1.36,11.98,23.36,53.3,,46.6,18.53
278,Waldwick,115591,9985,50.25,86.99,1.89,8.2,9.95,54.99,,43.3,23.88
279,Fort Lee,76578,37058,45.83,50.46,2.59,41.42,13.1,48.41,34.0,54.4,16.98
280,Fairview,56057,14422,46.12,78.53,3.14,3.74,58.54,51.67,,37.7,16.79
281,Dumont,94617,17882,47.99,71.33,5.1,16.61,18.03,53.0,,45.7,21.38
282,Englewood,80670,28509,47.08,45.79,30.77,12.33,24.52,51.55,33.0,42.5,21.7
283,Fair Lawn,109747,33447,47.55,81.94,1.64,13.25,13.68,52.96,29.0,45.4,21.77
284,Haworth,170417,3473,50.22,80.88,0.75,16.12,2.91,51.08,,45.0,25.45
285,Bergenfield,90962,27694,47.24,49.35,7.86,28.37,26.27,53.56,32.0,41.0,21.88
286,Cresskill,136250,8811,52.25,69.31,0.4,27.43,7.62,46.2,,40.6,27.53
