,Name,Latitude,Longitude,Street1,Street2,Street3,City,CountrySubdivisionCode,Income_x,Population_x,lat-API,long-API,target search add,Income_y,Population_y,Male Pop (%),White (%),Black (%),Asian (%),Hispanic (%),Employed (%),Travel Time to Work (mins),Median Age,Age <18 (%)
20,Whitehouse Station,40.62,-74.76,531 Route 22 East #8,,,Branchburg,NJ,129237.0,14683.0,,,"531 Route 22 East #8, Branchburg, NJ",129237.0,14683.0,47.97,85.96,4.79,8.29,3.3,55.24,,44.5,22.78
21,Target Brick T-1153,40.06,-74.15,570 Rte. 70 West,,,Brick,NJ,73051.0,75118.0,40.0578643,-74.1519311,"570 Rte. 70 West, Brick, NJ",73051.0,75118.0,48.86,91.42,2.24,1.89,9.76,49.61,30.0,46.4,19.49
22,Bridgewater Mall-Level 1 Side,40.59,-74.62,400 Commons Way,2475,Bridgewater Commons,Bridgewater,NJ,122684.0,45336.0,40.5863872,-74.6199134,"400 Commons Way, Bridgewater, NJ",122684.0,45336.0,48.48,70.75,2.9,22.64,9.24,50.82,29.0,45.7,23.12
23,Target Bridgewater T-1224,40.56,-74.56,200 Promenade Blvd,,,Bridgewater,NJ,122684.0,45336.0,40.5628086,-74.55273609999999,"200 Promenade Blvd, Bridgewater, NJ",122684.0,45336.0,48.48,70.75,2.9,22.64,9.24,50.82,29.0,45.7,23.12
24,The Village at Bridgewater Commons,40.58,-74.61,610 Commons Way 4300,,The Village at Bridgewater Commons,Bridgewater,NJ,122684.0,45336.0,40.582956,-74.614864,"610 Commons Way 4300, Bridgewater, NJ",122684.0,45336.0,48.48,70.75,2.9,22.64,9.24,50.82,29.0,45.7,23.12
25,Target Burlington T-1158,40.04,-74.82,2703 Route 541,,,Burlington,NJ,50709.0,9835.0,40.0351084,-74.82228839999999,"2703 Route 541, Burlington, NJ",50709.0,9835.0,46.98,54.03,31.05,3.25,10.78,49.89,,43.4,21.21
26,Target Burlington T-1158,40.04,-74.82,2703 Route 541,,,Burlington,NJ,50709.0,9835.0,40.0351084,-74.82228839999999,"2703 Route 541, Burlington, NJ",81738.0,22713.0,48.54,53.33,29.43,7.65,10.28,52.89,30.0,46.4,23.34
27,Rutgers U/Camden-Student Union,39.95,-75.12,326 Penn St,,,Camden,NJ,26105.0,75550.0,39.948664,-75.12263,"326 Penn St, Camden, NJ",26105.0,75550.0,47.92,21.22,45.4,3.18,48.48,34.89,23.0,32.0,31.42
28,Cedar Knolls Hanover,40.81,-74.47,178 Hanover Avenue,101,,Cedar Knolls,NJ,,,40.8134266,-74.4696416,"178 Hanover Avenue, Cedar Knolls, NJ",,,,,,,,,,,
29,Chatham,40.75,-74.43,640 Shunpike Rd.,,,Chatham,NJ,176364.0,10507.0,40.7465197,-74.4307395,"640 Shunpike Rd., Chatham, NJ",176364.0,10507.0,48.58,85.75,1.97,10.29,3.13,46.08,35.0,44.1,28.48
30,Chatham,40.75,-74.43,640 Shunpike Rd.,,,Chatham,NJ,176364.0,10507.0,40.7465197,-74.4307395,"640 Shunpike Rd., Chatham, NJ",163026.0,9003.0,49.32,88.15,1.58,8.46,9.81,48.25,,40.2,32.54
31,480 Evesham Road,39.86,-74.97,480 Evesham Road,,Short Hills Towne Centre,Cherry Hill,NJ,97069.0,71204.0,39.8636437,-74.9652167,"480 Evesham Road, Cherry Hill, NJ",97069.0,71204.0,48.9,73.88,6.65,13.46,7.03,51.85,26.0,45.6,22.08
32,600 Route 38 Cherry Hill,39.94,-75.05,600 Rt 38,,,Cherry Hill,NJ,97069.0,71204.0,39.9367765,-75.0449379,"600 Rt 38, Cherry Hill, NJ",97069.0,71204.0,48.9,73.88,6.65,13.46,7.03,51.85,26.0,45.6,22.08
